FID,codmun,codmundv,uf,nome_mun,ric01,ric02,ric03,ric04,ric05,ric06,ric07,ric08,ric09,ric10,ric11,ric12,ric13,ric14,ric15,ric16,ric17,ric18,ric19,ric20,ric21,ric22,ric23,ric24,ric25,ric26,ric27,ric28,ric29,ric30,ric31,ric32,ric33,ric34,ric35,ric36,ric37,ric38,ric39,ric40,ric41,ric42,ric43,ric44,ric45,ric46,ric47,ric48,ric49,ric50,ric51,ric52,ric53,ric54,ric55,ric56,ric57,ric58,ric59,ric60,ric61,ric62,ric63,ric64,ric65,ric66,ric67,ric68,ric69,ric70,ric71,ric72,ric73,ric74,ric75,the_geom
HierarquiaUrbana_Regic2007.439,430150,4301503,RS,Augusto Pestana,7273,347.439,63993.786,18307.889,5485.961,36014.804,11298.832,4185.132,5,Centro Local,,,Município Subordinado,0,,0,0,0,31,43.055556,5,36,22.78481,5,67,29.130435,6,2,1,38653,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,6,8.249691,11,6,0,0,0,1,f,1,f,0,,1,f,1,f,0,,0,,2,f,2,f,sim,POINT (-53.99253326554464 -28.517482606755706)
HierarquiaUrbana_Regic2007.440,431690,4316907,RS,Santa Maria,263403,1779.556,2358076.4,44264.865,308829.121,1741336.043,372530.189,263646.371,2B,Capital Regional B,2a,Centro regional A,Capital Regional,7,Muito forte,4,5,5,72,100,1,108,68.35443,4,180,78.26087,3,10,7,469540,5,1,1,1,1,1,1,1,0,51,8,18487,4,3,4,"10,526315789",1,4,3,1008,38.268357,81,4,0,0,259,34,d,35,d,82,b,28,d,43,d,19,d,18,e,12,e,15,e,,POINT (-53.80753788653472 -29.684486604247823)
HierarquiaUrbana_Regic2007.441,411722,4117222,PR,Nova Santa Rosa,7582,204.666,83506.481,21843.42,8254.304,45659.054,10110.037,7749.703,5,Centro Local,,,Município Subordinado,0,,0,0,0,28,38.888889,5,35,22.151899,5,63,27.391304,6,1,1,504,8,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,15,19.783698,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,2,f,1,f,sim,POINT (-53.95351460204422 -24.466469942468432)
HierarquiaUrbana_Regic2007.442,500470,5004700,MS,Ivinhema,20567,2009.887,127511.767,30008.899,11320.458,72472.971,29812.508,13709.439,5,Centro Local,,,Município Subordinado,2,Fraco,6,8,8,40,55.555556,4,45,28.481013,5,85,36.956522,5,4,4,40370,7,1,1,0,1,1,0,0,0,1,1,177,6,0,,,5,6,6,18,8.751884,11,6,0,0,0,1,f,2,f,3,f,2,f,0,,0,,0,,4,f,2,f,sim,POINT (-53.815505321216854 -22.30546257773562)
HierarquiaUrbana_Regic2007.443,430745,4307450,RS,Esperança do Sul,3445,148.381,22398.839,10235.265,1461.451,10068.738,5250.495,633.385,5,Centro Local,,,Município Subordinado,0,,0,0,0,7,9.722222,6,9,5.696203,6,16,6.956522,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.99252759044359 -27.355479178016594)
HierarquiaUrbana_Regic2007.444,431041,4310413,RS,Inhacorá,2290,114.135,13011.83,2416.183,992.556,8731.446,4663.399,871.645,5,Centro Local,,,Município Subordinado,0,,0,0,0,19,26.388889,6,9,5.696203,6,28,12.173913,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,11,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,1,f,1,f,não,POINT (-54.01753031656388 -27.883480664173423)
HierarquiaUrbana_Regic2007.445,510385,5103858,MT,Gaúcha do Norte,5816,16898.569,70406.249,39160.781,2670.026,23481.345,9124.71,5094.097,5,Centro Local,,,Município Subordinado,0,,0,0,0,19,26.388889,6,9,5.696203,6,28,12.173913,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,3.43879,22,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-53.080475312697445 -13.24242407798551)
HierarquiaUrbana_Regic2007.446,431912,4319125,RS,São Martinho da Serra,3409,671.853,25289.451,10828.38,1656.863,11759.773,5683.904,1044.435,5,Centro Local,,,Município Subordinado,0,,0,0,0,8,11.111111,6,4,2.531646,6,12,5.217391,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,2.933412,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-53.85553748226093 -29.53848601196356)
HierarquiaUrbana_Regic2007.447,430970,4309704,RS,Humaitá,4923,135.246,44138.132,13343.295,6041.755,22052.142,8110.642,2700.94,5,Centro Local,,,Município Subordinado,0,,0,0,0,29,40.277778,5,24,15.189873,5,53,23.043478,6,1,0,1472,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,2.031282,0,7,0,0,0,0,,1,f,0,,0,,0,,0,,0,,1,f,1,f,sim,POINT (-53.97452844615684 -27.56347987420205)
HierarquiaUrbana_Regic2007.448,412535,4125357,PR,São Jorge do Patrocínio,6031,404.689,30642.173,7756.746,3394.728,17529.607,7847.246,1961.092,5,Centro Local,,,Município Subordinado,0,,0,0,0,26,36.111111,5,20,12.658228,5,46,20,6,1,1,326,8,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,3.3162,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.9275115235699 -23.741467487278644)
HierarquiaUrbana_Regic2007.449,431020,4310207,RS,Ijuí,76739,689.124,942407.77,28884.077,163923.956,642924.32,130418.098,106675.417,2C,Capital Regional C,2b,Centro regional B,Capital Regional,6,Forte,4,5,5,68,94.444444,2,93,58.860759,4,161,70,4,8,6,141900,6,1,1,1,1,1,1,0,0,33,7,8355,5,5,,,4,5,5,179,23.325819,20,5,0,0,202,23,d,32,d,56,c,31,d,48,d,8,e,4,f,15,e,21,d,,POINT (-53.9155320318882 -28.38848253626958)
HierarquiaUrbana_Regic2007.450,431910,4319109,RS,São Martinho,5853,171.661,47057.395,15558.881,4069.135,24629.49,8667.844,2799.889,5,Centro Local,,,Município Subordinado,0,,0,0,0,38,52.777778,4,30,18.987342,5,68,29.565217,6,2,1,10475,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1.708526,11,6,0,0,0,1,f,1,f,0,,1,f,0,,1,f,0,,2,f,1,f,sim,POINT (-53.969529099854505 -27.70748032512607)
