no_cidade,nome_da_nidade,gid,valor,taxa
"Bom Sucesso","Bom Sucesso","5775","1","1"
"Bom Repouso","Bom Repouso","10295","0","0"
"São João do Paraíso","São João do Paraíso","10946","2","2"
"Casinhas","Casinhas","9893","2","2"
"Jaguaquara","Jaguaquara","7970","5","5"
"Major Isidoro","Major Isidoro","10080","1","1"
"Motuca","Motuca","8629","1","1"
"Lagoa Vermelha","Lagoa Vermelha","9502","2","2"
"Cambuquira","Cambuquira","10327","1","1"
"Dom Expedito Lopes","Dom Expedito Lopes","6965","1","1"
"Felício dos Santos","Felício dos Santos","10494","2","2"
"Presidente Olegário","Presidente Olegário","10834","3","3"
"São Gabriel","São Gabriel","8119","1","1"
"Matias Cardoso","Matias Cardoso","10684","1","1"
"Rio das Ostras","Rio das Ostras","8245","5","5"
"Serra Caiada","Serra Caiada","6540","2","2"
"Cravinhos","Cravinhos","8416","2","2"
"Palmeira d'Oeste","Palmeira d'Oeste","8667","2","2"
"Montenegro","Montenegro","9530","2","2"
"Palmeirais","Palmeirais","7039","2","2"
"Jucuruçu","Jucuruçu","7980","1","1"
"Santo André","Santo André","6771","1","1"
"Dois Irmãos do Tocantins","Dois Irmãos do Tocantins","8962","1","1"
"Vera","Vera","7435","3","3"
"Tapejara","Tapejara","9710","2","2"
"Dom Silvério","Dom Silvério","10465","0","0"
"Tanquinho","Tanquinho","8146","0","0"
"Algodão de Jandaíra","Algodão de Jandaíra","6601","1","1"
"Piedade dos Gerais","Piedade dos Gerais","10800","0","0"
"Paulo Ramos","Paulo Ramos","9191","6","6"
"Indiavaí","Indiavaí","7349","0","0"
"Corbélia","Corbélia","5817","2","2"
"Santa Mariana","Santa Mariana","6062","1","1"
"Coqueiros do Sul","Coqueiros do Sul","9387","1","1"
"Santa Bárbara d'Oeste","Santa Bárbara d'Oeste","8784","7","7"
"Lagoa","Lagoa","6696","1","1"
"Cupira","Cupira","9902","3","3"
"Mirinzal","Mirinzal","9174","2","2"
"Igaraçu do Tietê","Igaraçu do Tietê","8499","0","0"
"Novais","Novais","8646","0","0"
"Cedro","Cedro","7160","3","3"
"Canápolis","Canápolis","10339","0","0"
"Itapeva","Itapeva","8527","10","10"
"Anamã","Anamã","10137","2","2"
"Manoel Vitorino","Manoel Vitorino","8007","1","1"
"Herculândia","Herculândia","8486","2","2"
"Japeri","Japeri","8213","4","4"
"Eldorado do Sul","Eldorado do Sul","9412","2","2"
"São José do Jacuípe","São José do Jacuípe","8122","1","1"
"Içara","Içara","6241","10","10"
"Engenheiro Beltrão","Engenheiro Beltrão","5836","3","3"
"Nova Rosalândia","Nova Rosalândia","8999","1","1"
"São Tomé","São Tomé","6091","0","0"
"João Costa","João Costa","6996","1","1"
"Riachão","Riachão","6753","0","0"
"Macururé","Macururé","8000","1","1"
"Boca do Acre","Boca do Acre","10147","2","2"
"Apuí","Apuí","10139","2","2"
"Guaraci","Guaraci","5866","1","1"
"Nova Cruz","Nova Cruz","6518","3","3"
"Iraceminha","Iraceminha","6252","1","1"
"Agudos do Sul","Agudos do Sul","5736","0","0"
"Itaporã do Tocantins","Itaporã do Tocantins","8978","1","1"
"Muritiba","Muritiba","8031","4","4"
"Setubinha","Setubinha","10981","0","0"
"Maracanaú","Maracanaú","7219","7","7"
"Jeremoabo","Jeremoabo","7975","2","2"
"Canabrava do Norte","Canabrava do Norte","7324","1","1"
"Rio Vermelho","Rio Vermelho","10862","1","1"
"Porteiras","Porteiras","7260","3","3"
"Jardim do Seridó","Jardim do Seridó","6490","1","1"
"Caldeirão Grande do Piauí","Caldeirão Grande do Piauí","6933","2","2"
"Panorama","Panorama","8669","3","3"
"Morada Nova","Morada Nova","7232","3","3"
"Engenheiro Coelho","Engenheiro Coelho","8441","4","4"
"Matias Olímpio","Matias Olímpio","7017","2","2"
"Sátiro Dias","Sátiro Dias","8126","2","2"
"Inhapim","Inhapim","10563","9","9"
"Arealva","Arealva","8310","0","0"
"Poço das Antas","Poço das Antas","9593","0","0"
"Japira","Japira","5905","1","1"
"Roteiro","Roteiro","10116","1","1"
"João Pinheiro","João Pinheiro","10623","2","2"
"Douradina","Douradina","9799","0","0"
"Campanha","Campanha","10329","1","1"
"Derrubadas","Derrubadas","9400","0","0"
"Santa Rita de Caldas","Santa Rita de Caldas","10901","0","0"
"Quatipuru","Quatipuru","5673","2","2"
"Quixeramobim","Quixeramobim","7266","6","6"
"Guarujá do Sul","Guarujá do Sul","6235","0","0"
"Itariri","Itariri","8537","2","2"
"Belo Oriente","Belo Oriente","10278","1","1"
"Nova Bassano","Nova Bassano","9544","1","1"
"Jundiá","Jundiá","10075","2","2"
"Itapira","Itapira","8529","2","2"
"Nhandeara","Nhandeara","8636","2","2"
"Arceburgo","Arceburgo","10256","0","0"
"Conchal","Conchal","8407","3","3"
"São Rafael","São Rafael","6567","2","2"
"Rio Casca","Rio Casca","10851","1","1"
"Vitória do Jari","Vitória do Jari","5733","2","2"
"Olho-d'Água do Borges","Olho-d'Água do Borges","6519","2","2"
"Atilio Vivacqua","Atilio Vivacqua","11074","3","3"
"Capitão Gervásio Oliveira","Capitão Gervásio Oliveira","6942","1","1"
"Carlos Gomes","Carlos Gomes","9363","1","1"
"Meruoca","Meruoca","7225","2","2"
"Presidente Juscelino","Presidente Juscelino","9205","1","1"
"Mallet","Mallet","5928","1","1"
"Gararu","Gararu","7708","1","1"
"Portalegre","Portalegre","6538","1","1"
"Santana do Araguaia","Santana do Araguaia","5686","5","5"
"Barra do Choça","Barra do Choça","7797","1","1"
"Sonora","Sonora","9842","1","1"
