no_cidade,nome_da_nidade,gid,valor,taxa
"São Pedro do Ivaí","São Pedro do Ivaí","6088","1","1"
"Cláudio","Cláudio","10394","3","3"
"Lajes","Lajes","6501","0","0"
"Brazópolis","Brazópolis","10307","1","1"
"Franca","Franca","8456","8","8"
"Galiléia","Galiléia","10518","0","0"
"Alambari","Alambari","8279","0","0"
"Palmitos","Palmitos","6316","2","2"
"Cabrália Paulista","Cabrália Paulista","8365","1","1"
"Parauapebas","Parauapebas","5663","7","7"
"Sousa","Sousa","6805","6","6"
"Amajari","Amajari","10197","9","9"
"Barrinha","Barrinha","8334","2","2"
"Amparo de São Francisco","Amparo de São Francisco","7687","0","0"
"Itaú de Minas","Itaú de Minas","10593","0","0"
"Muricilândia","Muricilândia","8995","0","0"
"Cumbe","Cumbe","7703","1","1"
"Frei Gaspar","Frei Gaspar","10510","0","0"
"Doutor Pedrinho","Doutor Pedrinho","6214","0","0"
"Barreiras do Piauí","Barreiras do Piauí","6912","0","0"
"Rosário do Catete","Rosário do Catete","7746","0","0"
"Tunas do Paraná","Tunas do Paraná","6115","1","1"
"Criciúma","Criciúma","6207","8","8"
"Cachoeira Dourada","Cachoeira Dourada","10318","0","0"
"Carmo do Cajuru","Carmo do Cajuru","10365","1","1"
"Varzelândia","Varzelândia","11048","1","1"
"Campina Grande","Campina Grande","6646","10","10"
"Assaí","Assaí","5757","0","0"
"Nilópolis","Nilópolis","8225","2","2"
"Carlos Chagas","Carlos Chagas","10360","0","0"
"Bocaiúva do Sul","Bocaiúva do Sul","5773","2","2"
"Guimarães","Guimarães","9139","4","4"
"São João do Paraíso","São João do Paraíso","9235","4","4"
"Diogo de Vasconcelos","Diogo de Vasconcelos","10452","2","2"
"Tumiritinga","Tumiritinga","11027","2","2"
"Santa Rosa do Sul","Santa Rosa do Sul","6364","0","0"
"Maturéia","Maturéia","6714","1","1"
"Amparo do Serra","Amparo do Serra","10238","0","0"
"São Gabriel da Palha","São Gabriel da Palha","11130","1","1"
"Brejão","Brejão","9873","3","3"
"Orocó","Orocó","9960","9","9"
"Passa Tempo","Passa Tempo","10768","0","0"
"Santa Rita de Minas","Santa Rita de Minas","10903","0","0"
"Floreal","Floreal","8453","0","0"
"Bonfim do Piauí","Bonfim do Piauí","6924","1","1"
"Rio do Pires","Rio do Pires","8092","3","3"
"Doutor Camargo","Doutor Camargo","5834","0","0"
"Camaragibe","Camaragibe","9884","11","11"
"São João da Canabrava","São João da Canabrava","7081","0","0"
"Lagoa de Velhos","Lagoa de Velhos","6498","1","1"
"Alto Longá","Alto Longá","6897","1","1"
"Serro","Serro","11000","3","3"
"Cabrobó","Cabrobó","9879","5","5"
"Dom Inocêncio","Dom Inocêncio","6967","2","2"
"São Carlos","São Carlos","6372","1","1"
"Canarana","Canarana","7325","4","4"
"Castanheira","Castanheira","7327","1","1"
"Cacimba de Areia","Cacimba de Areia","6638","0","0"
"Vespasiano Correa","Vespasiano Correa","9754","0","0"
"Santo Antônio de Goiás","Santo Antônio de Goiás","7652","1","1"
"Xapuri","Xapuri","6890","4","4"
"Bom Jesus de Goiás","Bom Jesus de Goiás","7474","3","3"
"Roncador","Roncador","6045","1","1"
"Piranguçu","Piranguçu","10807","0","0"
"Araguainha","Araguainha","7310","1","1"
"Paraibano","Paraibano","9186","1","1"
"Itaí","Itaí","8520","0","0"
"Capivari de Baixo","Capivari de Baixo","6193","2","2"
"Delfinópolis","Delfinópolis","10446","0","0"
"Maurilândia do Tocantins","Maurilândia do Tocantins","8989","1","1"
"São Mateus do Maranhão","São Mateus do Maranhão","9242","1","1"
"Pilar","Pilar","10107","1","1"
"Tocantinópolis","Tocantinópolis","9050","2","2"
"Planaltino","Planaltino","8067","1","1"
"Guabiruba","Guabiruba","6232","1","1"
"Carmo de Minas","Carmo de Minas","10364","1","1"
"Miraselva","Miraselva","5955","0","0"
"Conceição do Araguaia","Conceição do Araguaia","5612","2","2"
"Itabela","Itabela","7936","0","0"
"Araioses","Araioses","9070","1","1"
"Rio das Antas","Rio das Antas","6346","0","0"
"Santo Antônio do Palma","Santo Antônio do Palma","9646","0","0"
"Tijucas","Tijucas","6400","1","1"
"Bandeirantes","Bandeirantes","5762","1","1"
"Dionísio Cerqueira","Dionísio Cerqueira","6212","1","1"
"Buriticupu","Buriticupu","9095","12","12"
"Palmelo","Palmelo","7615","1","1"
"Lajedo","Lajedo","9949","3","3"
"Capitão de Campos","Capitão de Campos","6941","1","1"
"Romelândia","Romelândia","6356","0","0"
"Olho d'Água","Olho d'Água","6725","2","2"
"Magé","Magé","8217","7","7"
"Tufilândia","Tufilândia","9260","2","2"
"Touros","Touros","6586","6","6"
"Urucânia","Urucânia","11040","0","0"
"Rosário","Rosário","9213","6","6"
"Treviso","Treviso","6405","1","1"
"Vera Cruz do Oeste","Vera Cruz do Oeste","6126","1","1"
"Palma","Palma","10758","2","2"
"Natividade","Natividade","8996","0","0"
"Torrinha","Torrinha","8882","0","0"
"Laguna Carapã","Laguna Carapã","9817","2","2"
"Catalão","Catalão","7499","8","8"
"Ibicoara","Ibicoara","7910","1","1"
"Naque","Naque","10723","0","0"
"Nazaré","Nazaré","8033","2","2"
"Vista Alegre do Prata","Vista Alegre do Prata","9764","1","1"
"Monsenhor Gil","Monsenhor Gil","7021","1","1"
"Sucupira do Norte","Sucupira do Norte","9254","1","1"
"Capoeiras","Capoeiras","9888","3","3"
"Mamborê","Mamborê","5929","1","1"
"Barra do Turvo","Barra do Turvo","8332","1","1"
"Cipó","Cipó","7859","2","2"
"Belo Vale","Belo Vale","10279","3","3"
"Centro Novo do Maranhão","Centro Novo do Maranhão","9110","3","3"
"Maravilha","Maravilha","10082","1","1"
"Piracema","Piracema","10804","0","0"
"Cascalho Rico","Cascalho Rico","10374","0","0"
"São José do Alegre","São José do Alegre","10954","0","0"
"Arenópolis","Arenópolis","7466","0","0"
"Engenheiro Paulo de Frontin","Engenheiro Paulo de Frontin","8204","1","1"
"Laje do Muriaé","Laje do Muriaé","8214","3","3"
"Monte Negro","Monte Negro","6857","1","1"
"Bocaina de Minas","Bocaina de Minas","10288","0","0"
"Viana","Viana","11138","5","5"
"Cumaru do Norte","Cumaru do Norte","5614","3","3"
"Campinas do Piauí","Campinas do Piauí","6934","0","0"
"Nova Ramada","Nova Ramada","9554","0","0"
"Mauriti","Mauriti","7224","4","4"
"Santa Inês","Santa Inês","6764","0","0"
"São Luís do Quitunde","São Luís do Quitunde","10123","0","0"
"Governador Dix-Sept Rosado","Governador Dix-Sept Rosado","6475","3","3"
"Manoel Urbano","Manoel Urbano","6880","1","1"
"Caiabu","Caiabu","8371","0","0"
"Antônio Prado","Antônio Prado","9288","2","2"
"Santana do Maranhão","Santana do Maranhão","9222","0","0"
"Suzano","Suzano","8855","8","8"
"Cachoeirinha","Cachoeirinha","9880","2","2"
"Presidente Dutra","Presidente Dutra","8075","3","3"
"Cláudia","Cláudia","7329","0","0"
"Jacaré dos Homens","Jacaré dos Homens","10069","0","0"
"Nova Veneza","Nova Veneza","6305","0","0"
"Lagoa do Piauí","Lagoa do Piauí","7007","1","1"
"Riacho de Santo Antônio","Riacho de Santo Antônio","6756","1","1"
"Paulo Jacinto","Paulo Jacinto","10104","1","1"
"Santa Maria da Vitória","Santa Maria da Vitória","8105","1","1"
"Lagoa Formosa","Lagoa Formosa","10640","1","1"
"Chapada do Norte","Chapada do Norte","10388","1","1"
"Luzinópolis","Luzinópolis","8986","1","1"
"São João do Soter","São João do Soter","9236","2","2"
"Duartina","Duartina","8431","2","2"
"Painel","Painel","6312","1","1"
"Brejo de Areia","Brejo de Areia","9092","2","2"
"Simão Pereira","Simão Pereira","11004","0","0"
"Humaitá","Humaitá","10160","7","7"
"Mucajaí","Mucajaí","10205","9","9"
"Raul Soares","Raul Soares","10840","2","2"
"Boqueirão","Boqueirão","6629","4","4"
"Ibaretama","Ibaretama","7187","3","3"
"Ubiratã","Ubiratã","6119","2","2"
"Ribeirão Grande","Ribeirão Grande","8756","1","1"
"Jandaia do Sul","Jandaia do Sul","5903","2","2"
"Itacajá","Itacajá","8975","1","1"
"Pedro Laurentino","Pedro Laurentino","7049","2","2"
"Malta","Malta","6704","0","0"
"Caetanos","Caetanos","7826","2","2"
"Carmésia","Carmésia","10361","0","0"
"Campo do Meio","Campo do Meio","10334","0","0"
"Ferraz de Vasconcelos","Ferraz de Vasconcelos","8451","4","4"
"Jaru","Jaru","6828","0","0"
"Guapimirim","Guapimirim","8205","4","4"
"Morro Agudo","Morro Agudo","8627","3","3"
"Francinópolis","Francinópolis","6975","0","0"
"Mesquita","Mesquita","8221","7","7"
"Divinésia","Divinésia","10454","0","0"
"Campo Bonito","Campo Bonito","5790","1","1"
"Jussara","Jussara","5914","0","0"
"Ipojuca","Ipojuca","9926","3","3"
"Santana do Cariri","Santana do Cariri","7274","1","1"
"Baixa Grande do Ribeiro","Baixa Grande do Ribeiro","6909","4","4"
"Águas Vermelhas","Águas Vermelhas","10221","1","1"
"Porto Amazonas","Porto Amazonas","6011","1","1"
"Conceição","Conceição","6654","1","1"
"Itatinga","Itatinga","8539","1","1"
"Santa Quitéria do Maranhão","Santa Quitéria do Maranhão","9220","0","0"
"Embu das Artes","Embu das Artes","8438","4","4"
"São Francisco de Paula","São Francisco de Paula","9656","1","1"
"Cacoal","Cacoal","6821","7","7"
"Breu Branco","Breu Branco","5600","9","9"
"Ilha Solteira","Ilha Solteira","8505","2","2"
"Bernardo Sayão","Bernardo Sayão","8939","1","1"
"Inhambupe","Inhambupe","7926","2","2"
"Siqueira Campos","Siqueira Campos","6099","1","1"
"Rifaina","Rifaina","8760","0","0"
"Rio das Pedras","Rio das Pedras","8764","3","3"
"Currais Novos","Currais Novos","6461","2","2"
"Leandro Ferreira","Leandro Ferreira","10649","0","0"
"Água Limpa","Água Limpa","7446","1","1"
"Santa Bárbara de Goiás","Santa Bárbara de Goiás","7641","1","1"
"Formosa do Oeste","Formosa do Oeste","5851","1","1"
"Japonvar","Japonvar","10612","0","0"
"Vila Flor","Vila Flor","6594","1","1"
"Monte Alegre","Monte Alegre","6513","3","3"
"Alagoa","Alagoa","10224","0","0"
"Poá","Poá","8715","1","1"
"São Caitano","São Caitano","9997","3","3"
"Lagoa do Sítio","Lagoa do Sítio","7008","1","1"
"Jaguaribe","Jaguaribe","7209","3","3"
"Vila Rica","Vila Rica","7436","3","3"
"Uirapuru","Uirapuru","7677","1","1"
"Gonçalves Dias","Gonçalves Dias","9130","1","1"
"São Francisco","São Francisco","6776","0","0"
"Caracol","Caracol","9789","0","0"
"Abel Figueiredo","Abel Figueiredo","5575","1","1"
"Pedro Alexandre","Pedro Alexandre","8058","2","2"
"Gurinhatã","Gurinhatã","10541","1","1"
"Dores do Turvo","Dores do Turvo","10471","1","1"
"Alto Rio Doce","Alto Rio Doce","10234","1","1"
"Canguçu","Canguçu","9350","1","1"
"Entre Rios do Sul","Entre Rios do Sul","9417","0","0"
"Puxinanã","Puxinanã","6748","3","3"
"São Francisco","São Francisco","7754","1","1"
"Nova Esperança","Nova Esperança","5965","1","1"
"Jales","Jales","8552","4","4"
"Goianorte","Goianorte","8970","1","1"
"Capela do Alto","Capela do Alto","8389","1","1"
"Arês","Arês","6439","1","1"
"Piedade do Rio Grande","Piedade do Rio Grande","10799","1","1"
"Itapuí","Itapuí","8533","1","1"
"Cássia dos Coqueiros","Cássia dos Coqueiros","8395","0","0"
"São Valentim","São Valentim","9685","0","0"
"Guapiaçu","Guapiaçu","8470","5","5"
"Coronel Freitas","Coronel Freitas","6203","0","0"
"Parisi","Parisi","8678","1","1"
"Camaçari","Camaçari","7832","8","8"
"Teodoro Sampaio","Teodoro Sampaio","8877","3","3"
"Braúnas","Braúnas","10306","1","1"
"Fernando Pedroza","Fernando Pedroza","6469","1","1"
"Jateí","Jateí","9814","0","0"
"Fervedouro","Fervedouro","10500","1","1"
"Demerval Lobão","Demerval Lobão","6963","2","2"
"Lajeado","Lajeado","9503","3","3"
"Crissiumal","Crissiumal","9393","1","1"
"Perobal","Perobal","5994","0","0"
"Bento de Abreu","Bento de Abreu","8340","0","0"
"Japurá","Japurá","5906","0","0"
"Palmeira dos Índios","Palmeira dos Índios","10099","3","3"
"Pintadas","Pintadas","8063","0","0"
"Campina da Lagoa","Campina da Lagoa","5787","1","1"
"Ponte Preta","Ponte Preta","9595","0","0"
"Morro da Fumaça","Morro da Fumaça","6299","2","2"
"Quixabá","Quixabá","6750","1","1"
"Vertente do Lério","Vertente do Lério","10028","1","1"
"Carolina","Carolina","9104","3","3"
"Timbiras","Timbiras","9257","0","0"
"Hidrolândia","Hidrolândia","7545","2","2"
"Pocinhos","Pocinhos","6742","5","5"
"Ubaí","Ubaí","11032","0","0"
"Pedras Altas","Pedras Altas","9579","0","0"
"Buriti Bravo","Buriti Bravo","9094","3","3"
"Cerro Negro","Cerro Negro","6197","1","1"
"Santana do Mundaú","Santana do Mundaú","10119","2","2"
"Santa Maria do Oeste","Santa Maria do Oeste","6061","2","2"
"Arenápolis","Arenápolis","7312","1","1"
"Irituia","Irituia","5630","3","3"
"São Miguel dos Campos","São Miguel dos Campos","10124","6","6"
"Tobias Barreto","Tobias Barreto","7759","6","6"
"Saúde","Saúde","8128","2","2"
"Ipu","Ipu","7196","8","8"
"Ouro Velho","Ouro Velho","6727","1","1"
"Varjota","Varjota","7297","4","4"
"Jundiá","Jundiá","6495","1","1"
"Carnaíba","Carnaíba","9889","3","3"
"Goiânia","Goiânia","7535","12","12"
"Cedro de São João","Cedro de São João","7701","0","0"
"Janaúba","Janaúba","10609","4","4"
"Campos Lindos","Campos Lindos","8945","0","0"
"Pendências","Pendências","6535","1","1"
"Águas Mornas","Águas Mornas","6140","1","1"
"Parambu","Parambu","7250","3","3"
"Paulo Afonso","Paulo Afonso","8055","2","2"
"Guará","Guará","8472","1","1"
"Camargo","Camargo","9338","1","1"
"Jatobá do Piauí","Jatobá do Piauí","6994","1","1"
"Florínia","Florínia","8455","0","0"
"Leme","Leme","8572","2","2"
"Cerro Grande do Sul","Cerro Grande do Sul","9372","2","2"
"Ibiraçu","Ibiraçu","11095","2","2"
"Simões","Simões","7101","2","2"
"Ibiracatu","Ibiracatu","10547","0","0"
"Jandira","Jandira","8554","4","4"
"Anadia","Anadia","10034","1","1"
"Antônio Carlos","Antônio Carlos","6147","1","1"
"Paulínia","Paulínia","8681","0","0"
"Assis Brasil","Assis Brasil","6871","5","5"
"Nova Olinda","Nova Olinda","6723","2","2"
"Fortuna de Minas","Fortuna de Minas","10505","1","1"
"Matina","Matina","8015","2","2"
"Jaupaci","Jaupaci","7569","1","1"
"Presidente Vargas","Presidente Vargas","9208","2","2"
"Passagem","Passagem","6729","1","1"
"Fortaleza","Fortaleza","7174","22","22"
"Campo Novo","Campo Novo","9344","0","0"
"Lobato","Lobato","5923","1","1"
"Marianópolis do Tocantins","Marianópolis do Tocantins","8987","0","0"
"Pentecoste","Pentecoste","7254","4","4"
"Ribeirão Bonito","Ribeirão Bonito","8751","0","0"
"Itacoatiara","Itacoatiara","10163","7","7"
"Tio Hugo","Tio Hugo","9720","0","0"
"Caieiras","Caieiras","8372","0","0"
"Limeira","Limeira","8574","4","4"
"Esperantina","Esperantina","8964","3","3"
"Pimenta Bueno","Pimenta Bueno","6833","1","1"
"Curralinhos","Curralinhos","6961","1","1"
"Maetinga","Maetinga","8002","3","3"
"Serra da Saudade","Serra da Saudade","10994","0","0"
"Vargem","Vargem","8902","2","2"
"Taquara","Taquara","9713","1","1"
"Darcinópolis","Darcinópolis","8959","0","0"
"Babaçulândia","Babaçulândia","8935","2","2"
"Jati","Jati","7212","0","0"
"Tabaí","Tabaí","9709","1","1"
"Rio da Conceição","Rio da Conceição","9025","0","0"
"Sardoá","Sardoá","10979","1","1"
"Riacho Frio","Riacho Frio","7062","1","1"
"São Gonçalo do Abaeté","São Gonçalo do Abaeté","10931","0","0"
"Canhotinho","Canhotinho","9887","5","5"
"Itajobi","Itajobi","8521","2","2"
"Capão do Cipó","Capão do Cipó","9355","1","1"
"Trombas","Trombas","7674","1","1"
"Ingazeira","Ingazeira","9925","1","1"
"Sairé","Sairé","9983","0","0"
"Normandia","Normandia","10206","11","11"
"Guidoval","Guidoval","10538","0","0"
"Chiador","Chiador","10390","0","0"
"Tefé","Tefé","10192","1","1"
"Aloândia","Aloândia","7449","1","1"
"Apiaí","Apiaí","8300","2","2"
"Água Comprida","Água Comprida","10218","0","0"
"Montalvânia","Montalvânia","10704","1","1"
"Cerro Azul","Cerro Azul","5806","4","4"
"Natalândia","Natalândia","10724","0","0"
"Amapá","Amapá","5719","3","3"
"Rio Real","Rio Real","8093","3","3"
"São Mateus","São Mateus","11132","9","9"
"Capivari","Capivari","8390","1","1"
"Itaperuna","Itaperuna","8211","8","8"
"Mauá","Mauá","8601","4","4"
"Casa Branca","Casa Branca","8394","1","1"
"Oscar Bressane","Oscar Bressane","8659","0","0"
"Mira Estrela","Mira Estrela","8608","0","0"
"Santa Gertrudes","Santa Gertrudes","8793","3","3"
"Juranda","Juranda","5913","0","0"
"Figueirópolis","Figueirópolis","8966","1","1"
"Matões do Norte","Matões do Norte","9170","4","4"
"Choró","Choró","7162","8","8"
"Porto Firme","Porto Firme","10823","2","2"
"Luiz Alves","Luiz Alves","6282","0","0"
"Escada","Escada","9905","0","0"
"Chapadão do Sul","Chapadão do Sul","9791","2","2"
"Rio Novo","Rio Novo","10856","0","0"
"Potim","Potim","8726","3","3"
"Benjamin Constant","Benjamin Constant","10144","2","2"
"Aquiraz","Aquiraz","7127","8","8"
"Ventania","Ventania","6125","0","0"
"Montes Claros de Goiás","Montes Claros de Goiás","7587","3","3"
"Marema","Marema","6290","1","1"
"Jacinto","Jacinto","10603","3","3"
"Nazareno","Nazareno","10726","1","1"
"Sarutaiá","Sarutaiá","8842","1","1"
"Pinhalzinho","Pinhalzinho","8700","0","0"
"Caconde","Caconde","8369","2","2"
"Colônia do Gurguéia","Colônia do Gurguéia","6952","3","3"
"Orleans","Orleans","6307","1","1"
"Itaúna do Sul","Itaúna do Sul","5894","2","2"
"São Benedito do Rio Preto","São Benedito do Rio Preto","9225","0","0"
"Guarapari","Guarapari","11093","1","1"
"Mato Queimado","Mato Queimado","9523","0","0"
"Coronel Vivida","Coronel Vivida","5820","3","3"
"Quintana","Quintana","8742","1","1"
"Santa Bárbara do Sul","Santa Bárbara do Sul","9632","1","1"
"São João d'Aliança","São João d'Aliança","7656","4","4"
"Boquim","Boquim","7693","3","3"
"Paulo Frontin","Paulo Frontin","5992","0","0"
"Juruena","Juruena","7359","1","1"
"Goiatins","Goiatins","8971","1","1"
"Canguaretama","Canguaretama","6452","3","3"
"Cabo Frio","Cabo Frio","8190","5","5"
"Tupiratins","Tupiratins","9052","1","1"
"Curral de Cima","Curral de Cima","6665","0","0"
"Esmeraldas","Esmeraldas","10481","1","1"
"Palmeirante","Palmeirante","9004","2","2"
"Barra de São Francisco","Barra de São Francisco","11076","1","1"
"Boninal","Boninal","7811","0","0"
"Canitar","Canitar","8387","1","1"
"Mara Rosa","Mara Rosa","7578","1","1"
"Gado Bravo","Gado Bravo","6677","2","2"
"Avelino Lopes","Avelino Lopes","6908","2","2"
"Jaicós","Jaicós","6992","1","1"
"Santo Antônio do Jardim","Santo Antônio do Jardim","8809","1","1"
"Pitangueiras","Pitangueiras","8712","1","1"
"Igarapé-Açu","Igarapé-Açu","5626","1","1"
"Guapiara","Guapiara","8471","0","0"
"Palmital","Palmital","5982","1","1"
"Coreaú","Coreaú","7164","1","1"
"Passos Maia","Passos Maia","6320","3","3"
"Nossa Senhora Aparecida","Nossa Senhora Aparecida","7729","1","1"
"Macaúbas","Macaúbas","7999","1","1"
"Ecoporanga","Ecoporanga","11089","2","2"
"Portel","Portel","5669","5","5"
"Irapuã","Irapuã","8517","1","1"
"Baião","Baião","5589","12","12"
"Tamboril","Tamboril","7285","2","2"
"Varjão de Minas","Varjão de Minas","11046","0","0"
"Alagoa Grande","Alagoa Grande","6597","2","2"
"Ipiguá","Ipiguá","8513","0","0"
"Santa Luzia do Itanhy","Santa Luzia do Itanhy","7748","6","6"
"Sussuapara","Sussuapara","7104","0","0"
"Ninheira","Ninheira","10728","1","1"
"Sorocaba","Sorocaba","8852","4","4"
"Ubatuba","Ubatuba","8892","3","3"
"Niquelândia","Niquelândia","7598","4","4"
"Andrelândia","Andrelândia","10241","1","1"
"Carandaí","Carandaí","10355","11","11"
"Juvenília","Juvenília","10634","0","0"
"Muzambinho","Muzambinho","10720","1","1"
"Mansidão","Mansidão","8008","2","2"
"Peixe","Peixe","9010","4","4"
"Trindade do Sul","Trindade do Sul","9733","1","1"
"Barro Duro","Barro Duro","6913","1","1"
"Tacima","Tacima","6807","2","2"
"São Martinho","São Martinho","9674","0","0"
"Caiçara do Norte","Caiçara do Norte","6448","0","0"
"Cubati","Cubati","6661","2","2"
"São Sebastião da Vargem Alegre","São Sebastião da Vargem Alegre","10967","0","0"
"Miraguaí","Miraguaí","9526","0","0"
"Córrego Danta","Córrego Danta","10428","0","0"
"Resende","Resende","8241","10","10"
"Descoberto","Descoberto","10448","0","0"
"Lagamar","Lagamar","10636","0","0"
"Santa Terezinha do Progresso","Santa Terezinha do Progresso","6366","1","1"
"Tavares","Tavares","6809","6","6"
"Candói","Candói","5796","2","2"
"Feira Nova","Feira Nova","7706","2","2"
"Vargem Grande do Rio Pardo","Vargem Grande do Rio Pardo","11044","1","1"
"São João do Arraial","São João do Arraial","7085","1","1"
"Belmonte","Belmonte","6166","1","1"
"Sabinópolis","Sabinópolis","10871","2","2"
"Sarandi","Sarandi","6093","7","7"
"Taparuba","Taparuba","11010","0","0"
"Sacramento","Sacramento","10872","1","1"
"Bambuí","Bambuí","10267","1","1"
"Santa Maria do Herval","Santa Maria do Herval","9637","1","1"
"Salvador do Sul","Salvador do Sul","9630","1","1"
"Miracema do Tocantins","Miracema do Tocantins","8990","2","2"
"Ipupiara","Ipupiara","7930","2","2"
"Sul Brasil","Sul Brasil","6396","0","0"
"Guapirama","Guapirama","5864","1","1"
"Buriti de Goiás","Buriti de Goiás","7480","1","1"
"Teófilo Otoni","Teófilo Otoni","11016","0","0"
"Juquiá","Juquiá","8566","1","1"
"Sítio d'Abadia","Sítio d'Abadia","7668","1","1"
"Doresópolis","Doresópolis","10472","0","0"
"Perdizes","Perdizes","10792","0","0"
"Taiúva","Taiúva","8863","1","1"
"Horizontina","Horizontina","9464","2","2"
"Vila Lângaro","Vila Lângaro","9760","1","1"
"João Ramalho","João Ramalho","8560","1","1"
"Estreito","Estreito","9123","6","6"
"São Domingos","São Domingos","8114","1","1"
"Martinópolis","Martinópolis","8599","2","2"
"Monteiro","Monteiro","6718","5","5"
"Júlio de Castilhos","Júlio de Castilhos","9498","0","0"
"Lavrinhas","Lavrinhas","8571","1","1"
"Ibipitanga","Ibipitanga","7913","1","1"
"Nobres","Nobres","7368","1","1"
"Dois Córregos","Dois Córregos","8427","1","1"
"Três Coroas","Três Coroas","9728","0","0"
"Cuparaque","Cuparaque","10441","1","1"
"Santa Lúcia","Santa Lúcia","8795","2","2"
"Gália","Gália","8460","1","1"
"Redenção","Redenção","7268","3","3"
"Santana","Santana","8106","2","2"
"Bacurituba","Bacurituba","9077","2","2"
"Caapiranga","Caapiranga","10149","2","2"
"Divinópolis do Tocantins","Divinópolis do Tocantins","8961","1","1"
"Nina Rodrigues","Nina Rodrigues","9178","1","1"
"Banzaê","Banzaê","7794","0","0"
"Centenário","Centenário","9368","1","1"
"Paial","Paial","6311","0","0"
"Água Fria de Goiás","Água Fria de Goiás","7445","1","1"
"Lençóis Paulista","Lençóis Paulista","8573","3","3"
"Nortelândia","Nortelândia","7369","1","1"
"Caçu","Caçu","7486","4","4"
"Bela Cruz","Bela Cruz","7144","5","5"
"Nova Santa Helena","Nova Santa Helena","7374","0","0"
"Olho D'Água do Piauí","Olho D'Água do Piauí","7034","2","2"
"Quatro Pontes","Quatro Pontes","6023","1","1"
"Areia Branca","Areia Branca","7691","1","1"
"Coqueiral","Coqueiral","10417","3","3"
"Inocência","Inocência","9807","0","0"
"Marcos Parente","Marcos Parente","7015","1","1"
"Ipatinga","Ipatinga","10568","3","3"
"Platina","Platina","8714","1","1"
"Luís Domingues","Luís Domingues","9162","2","2"
"Saltinho","Saltinho","8777","1","1"
"Maruim","Maruim","7724","5","5"
"São Pedro do Butiá","São Pedro do Butiá","9681","0","0"
"Taboleiro Grande","Taboleiro Grande","6579","1","1"
"Siriri","Siriri","7757","3","3"
"Mundo Novo","Mundo Novo","7594","0","0"
"Serra Negra","Serra Negra","8846","2","2"
"Nossa Senhora de Lourdes","Nossa Senhora de Lourdes","7732","0","0"
"Casserengue","Casserengue","6650","2","2"
"Damianópolis","Damianópolis","7516","0","0"
"Córrego do Bom Jesus","Córrego do Bom Jesus","10429","0","0"
"Madre de Deus de Minas","Madre de Deus de Minas","10662","1","1"
"Miranorte","Miranorte","8991","1","1"
"Nova Veneza","Nova Veneza","7605","2","2"
"Ibitinga","Ibitinga","8495","1","1"
"Caibaté","Caibaté","9335","1","1"
"Fátima","Fátima","8965","1","1"
"Angical","Angical","7778","1","1"
"Itapeva","Itapeva","10591","0","0"
"São Pedro da Serra","São Pedro da Serra","9679","1","1"
"Santa Rosa do Purus","Santa Rosa do Purus","6886","2","2"
"Rio das Flores","Rio das Flores","8244","3","3"
"Anitápolis","Anitápolis","6146","0","0"
"Paraú","Paraú","6522","1","1"
"Campo Verde","Campo Verde","7322","3","3"
"Maratá","Maratá","9514","0","0"
"Costa Marques","Costa Marques","6825","0","0"
"Porto Alegre do Tocantins","Porto Alegre do Tocantins","9018","0","0"
"São Jorge d'Oeste","São Jorge d'Oeste","6078","1","1"
"Nova Ipixuna","Nova Ipixuna","5651","1","1"
"São João da Urtiga","São João da Urtiga","9659","2","2"
"Antônio Almeida","Antônio Almeida","6903","0","0"
"Cruzeiro da Fortaleza","Cruzeiro da Fortaleza","10439","1","1"
"Cambira","Cambira","5786","1","1"
"São João das Missões","São João das Missões","10940","0","0"
"Pão de Açúcar","Pão de Açúcar","10100","1","1"
"Cafelândia","Cafelândia","5781","1","1"
"Itanhomi","Itanhomi","10587","2","2"
"Araguanã","Araguanã","8928","1","1"
"Tuiuti","Tuiuti","8886","0","0"
"Pirajuba","Pirajuba","10805","0","0"
"Cotegipe","Cotegipe","7874","0","0"
"Vale de São Domingos","Vale de São Domingos","7433","0","0"
"Campo Alegre","Campo Alegre","10047","7","7"
"Itaqui","Itaqui","9485","4","4"
"Panamá","Panamá","7617","0","0"
"Euclides da Cunha Paulista","Euclides da Cunha Paulista","8446","3","3"
"Eunápolis","Eunápolis","7889","16","16"
"Mogi Mirim","Mogi Mirim","8616","1","1"
"Getúlio Vargas","Getúlio Vargas","9451","0","0"
"União do Oeste","União do Oeste","6412","0","0"
"Três Barras","Três Barras","6404","3","3"
"Santana do Garambéu","Santana do Garambéu","10895","0","0"
"Alfredo Chaves","Alfredo Chaves","11069","1","1"
"São Pedro do Sul","São Pedro do Sul","9682","2","2"
"São Vendelino","São Vendelino","9688","0","0"
"Vargem Alegre","Vargem Alegre","11042","0","0"
"Cantagalo","Cantagalo","10342","0","0"
"Congonhinhas","Congonhinhas","5814","0","0"
"Xique-Xique","Xique-Xique","8178","3","3"
"Umirim","Umirim","7294","2","2"
"Serranópolis","Serranópolis","7665","1","1"
"Rio Branco","Rio Branco","6884","31","31"
"Brejinho de Nazaré","Brejinho de Nazaré","8942","1","1"
"Ilhabela","Ilhabela","8503","2","2"
"Paraúna","Paraúna","7619","3","3"
"Ivolândia","Ivolândia","7565","1","1"
"Iati","Iati","9919","3","3"
"Telha","Telha","7758","1","1"
"Sales","Sales","8773","0","0"
