"CMD_MIL_AREA","UF","MUNICIPIO","ENTIDADE","CURSO","LOCAL","INICIO","TERMINO","CARGA_HORARIA","EFETIVO_INICIAL","EFETIVO_FINAL","VALOR_HORA_AULA","VALOR_TOTAL",,
"CML","MG","Belo Horizonte","SENAI","Eletroeletrônica Automotiva e Introdução a Injeção Eletronica","SENAI",5-set,21-set,48,1,1,"R$ 8,75","R$ 420,00",,
"CML","MG","Belo Horizonte","SENAI","Injeção Eletrônica Automotiva","SENAI",17-out,27-out,32,1,1,"R$ 12,00","R$ 384,00",,
"CML","MG","Belo Horizonte","SENAI","Trava portas, Vidro Elétrico, Alarme e Code","SENAI",14-nov,25-nov,32,1,1,"R$ 12,94","R$ 414,00",,
"CML","MG","Belo Horizonte","SENAC","Recepcionista em meios de Hospedagem","SENAC",27-jun,12-set,160,2,2,"R$ 8,00","R$ 1.280,00",,
"CML","MG","Belo Horizonte","SENAC","Boa Práticas na Manipulação de Alimentos","SENAC",19-set,23-set,20,5,5,"R$ 9,00","R$ 900,00",,
"CMO","MS","Campo Grande","IFMS","ELETRICISTA INSTALADOR PREDIAL BAIXA TENSÃO","IFMS",31-ago,9-dez,200,40,40,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","IFMS","INGLÊS","IFMS",31-ago,28-out,200,40,40,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","IFMS","ESPANHOL","IFMS",31-ago,28-out,180,40,40,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","IFMS","DESENHISTA MECÂNICO","IFMS",31-ago,9-dez,180,40,40,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","IFMS","CURSO TÉCNICO SUBSEQUENTE EM INFORMÁTICA","IFMS",31-ago,11-set,200,40,40,"R$ 0,00","R$ 0,00",,
"CMO","MS","Campo Grande","6º CTA","MANUTENÇÃO E SUPORTE EM INFORMÁTICA","6º CTA",1-ago,2-set,160,20,20,"R$ 3,00","R$ 9.600,00",,
"CMO","MS","Campo Grande","6º CTA","WEB DESIGNER","6º CTA",21-set,14-nov,160,20,20,"R$ 3,00","R$ 9.600,00",,
"CMO","MS","Campo Grande","6º CTA","EDITOR GRÁFICO","6º CTA",24-out,25-nov,160,20,20,"R$ 1,70","R$ 5.426,12",,
"CMO","MS","Campo Grande","SEST/SENAT","MOTORISTA TRANSPORTE VEÍCULO EMERGÊNCIA","SEST/SENAT",7-dez,12-dez,50,20,20,"R$ 5,30","R$ 5.300,00",,
"CMO","MS","Campo Grande","SEST/SENAT","MOTORISTA TRANSPORTE VEÍCULO DE COLETIVO","SEST/SENAT",7-dez,12-dez,50,20,20,"R$ 5,15","R$ 5.150,00",,
"CMO","MS","Campo Grande","SEST/SENAT","MOTORISTA DE CARGA INDIVISÍVEL - (****)","SEST/SENAT",7-dez,12-dez,50,15,15,"R$ 5,30","R$ 3.975,00",,
"CMO","MS","Campo Grande","SEST/SENAT","MOTORISTA OPERAÇÕES PERIGOSAS - (MOP)","SEST/SENAT",7-dez,12-dez,50,20,20,"R$ 5,15","R$ 5.150,00",,
